Station information:,,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority,
Auckland Aero,1962,C74082,-37.00813,174.78873,7,H,N/A,
"Note: Position precision types are: ""W"" = based on whole minutes, ""T"" = estimated to tenth minute,",,,,,,,,
"G = derived from gridref , ""E"" = error cases derived from gridref,",,,,,,,,
"H = based on GPS readings (NZGD49), ""D"" = by definition i.e. grid points.",,,,,,,,
,,,,,,,,
Rain: Daily,,,,,,,,
Station,Date(NZST),Time(NZST),Amount(mm),SofG,Deficit(mm),Runoff(mm),Period(Hrs),Freq
Auckland Aero,20161230,800,0,-,133.3,0,24,D
Auckland Aero,20161231,800,0,-,134.5,0,24,D
Auckland Aero,20170101,800,0,-,135.6,0,24,D
Auckland Aero,20170102,800,0,-,136.7,0,24,D
Auckland Aero,20170103,800,1.8,-,136,0,24,D
Auckland Aero,20170104,800,1.8,-,135.3,0,24,D
Auckland Aero,20170105,800,0.2,-,136.2,0,24,D
Auckland Aero,20170106,800,0,-,137.3,0,24,D
Auckland Aero,20170107,800,0,-,138.3,0,24,D
Auckland Aero,20170108,800,0,-,139.2,0,24,D
Auckland Aero,20170109,800,0,-,140,0,24,D
Auckland Aero,20170110,800,0,-,140.8,0,24,D
Auckland Aero,20170111,800,0,-,141.5,0,24,D
Auckland Aero,20170112,800,0,-,142.2,0,24,D
Auckland Aero,20170113,800,0,-,142.8,0,24,D
Auckland Aero,20170114,800,1.6,-,141.8,0,24,D
Auckland Aero,20170115,800,0,-,142.4,0,24,D
Auckland Aero,20170116,800,0,-,143,0,24,D
Auckland Aero,20170117,800,0,-,143.5,0,24,D
Auckland Aero,20170118,800,0,-,144,0,24,D
Auckland Aero,20170119,800,0,-,144.5,0,24,D
Auckland Aero,20170120,800,7.8,-,137.1,0,24,D
Auckland Aero,20170121,800,1,-,137.1,0,24,D
Auckland Aero,20170122,800,18.2,-,119.9,0,24,D
Auckland Aero,20170123,800,1.2,-,121.1,0,24,D
Auckland Aero,20170124,800,0,-,123.3,0,24,D
Auckland Aero,20170125,800,0,-,125.4,0,24,D
Auckland Aero,20170126,800,1,-,126.3,0,24,D
Auckland Aero,20170127,800,0,-,128.2,0,24,D
Auckland Aero,20170128,800,0,-,129.9,0,24,D
Auckland Aero,20170129,800,0,-,131.4,0,24,D
Auckland Aero,20170130,800,0,-,132.9,0,24,D
Auckland Aero,20170131,800,0,-,134.2,0,24,D
Auckland Aero,20170201,800,0,-,135.4,0,24,D
Auckland Aero,20170202,800,0,-,136.3,0,24,D
Auckland Aero,20170203,800,0.4,-,136.7,0,24,D
Auckland Aero,20170204,800,0,-,137.5,0,24,D
Auckland Aero,20170205,800,0,-,138.2,0,24,D
Auckland Aero,20170206,800,0,-,138.9,0,24,D
Auckland Aero,20170207,800,0,-,139.6,0,24,D
Auckland Aero,20170208,800,0,-,140.2,0,24,D
Auckland Aero,20170209,800,0.8,-,140,0,24,D
Auckland Aero,20170210,800,0.6,-,140,0,24,D
Auckland Aero,20170211,800,0,-,140.6,0,24,D
Auckland Aero,20170212,800,0,-,141.1,0,24,D
Auckland Aero,20170213,800,0.4,-,141.2,0,24,D
Auckland Aero,20170214,800,1.2,-,140.6,0,24,D
Auckland Aero,20170215,800,2.8,-,138.3,0,24,D
Auckland Aero,20170216,800,6,-,133,0,24,D
Auckland Aero,20170217,800,40.8,-,93.2,0,24,D
Auckland Aero,20170218,800,6,-,90.6,0,24,D
Auckland Aero,20170219,800,0.6,-,93.5,0,24,D
Auckland Aero,20170220,800,0.2,-,96.6,0,24,D
Auckland Aero,20170221,800,0,-,99.8,0,24,D
Auckland Aero,20170222,800,0,-,102.7,0,24,D
Auckland Aero,20170223,800,0,-,105.5,0,24,D
Auckland Aero,20170224,800,0,-,108.1,0,24,D
Auckland Aero,20170225,800,0,-,110.6,0,24,D
Auckland Aero,20170226,800,0,-,112.9,0,24,D
Auckland Aero,20170227,800,0,-,115.1,0,24,D
Auckland Aero,20170228,800,0,-,117.2,0,24,D
Auckland Aero,20170301,800,0.6,-,118.5,0,24,D
Auckland Aero,20170302,800,0,-,120,0,24,D
Auckland Aero,20170303,800,0,-,121.4,0,24,D
Auckland Aero,20170304,800,0,-,122.7,0,24,D
Auckland Aero,20170305,800,0,-,124,0,24,D
Auckland Aero,20170306,800,0,-,125.2,0,24,D
Auckland Aero,20170307,800,0,-,126.3,0,24,D
Auckland Aero,20170308,800,44.8,-,82.6,0,24,D
Auckland Aero,20170309,800,5.2,-,80.5,0,24,D
